onset,duration,description
0,13,ignore
1.30E+10,5,like
1.80E+10,5,like
2.30E+10,5,like
2.80E+10,5,like
3.30E+10,5,like
3.80E+10,5,like
4.30E+10,15,ignore
5.80E+10,5,dislike
6.30E+10,5,dislike
6.80E+10,5,dislike
7.30E+10,5,dislike
7.80E+10,5,dislike
8.30E+10,5,dislike
8.80E+10,15,ignore
1.03E+11,5,like
1.08E+11,5,like
1.13E+11,5,like
1.18E+11,5,like
1.23E+11,5,like
1.28E+11,5,like
1.33E+11,15,ignore
1.48E+11,5,dislike
1.53E+11,5,dislike
1.58E+11,5,dislike
1.63E+11,5,dislike
1.68E+11,5,dislike
1.73E+11,5,dislike
1.78E+11,15,ignore
1.93E+11,5,like
1.98E+11,5,like
2.03E+11,5,like
2.08E+11,5,like
2.13E+11,5,like
2.18E+11,5,like
2.23E+11,15,ignore
2.38E+11,5,dislike
2.43E+11,5,dislike
2.48E+11,5,dislike
2.53E+11,5,dislike
2.58E+11,5,dislike
2.63E+11,5,dislike
