onset,duration,description
0,104,ignore
1.04E+11,5,like
1.09E+11,5,like
1.14E+11,5,like
1.19E+11,5,like
1.24E+11,5,like
1.29E+11,5,like
1.34E+11,15,ignore
1.49E+11,5,dislike
1.54E+11,5,dislike
1.59E+11,5,dislike
1.64E+11,5,dislike
1.69E+11,5,dislike
1.74E+11,5,dislike
1.79E+11,15,ignore
1.94E+11,5,like
1.99E+11,5,like
2.04E+11,5,like
2.09E+11,5,like
2.14E+11,5,like
2.19E+11,5,like
2.24E+11,15,ignore
2.39E+11,5,dislike
2.44E+11,5,dislike
2.49E+11,5,dislike
2.54E+11,5,dislike
2.59E+11,5,dislike
2.64E+11,5,dislike
2.69E+11,15,ignore
2.84E+11,5,like
2.89E+11,5,like
2.94E+11,5,like
2.99E+11,5,like
3.04E+11,5,like
3.09E+11,5,like
3.14E+11,15,ignore
3.29E+11,5,dislike
3.34E+11,5,dislike
3.39E+11,5,dislike
3.44E+11,5,dislike
3.49E+11,5,dislike
3.54E+11,5,dislike
3.59E+11,15,ignore
3.74E+11,5,like
3.79E+11,5,like
3.84E+11,5,like
3.89E+11,5,like
3.94E+11,5,like
3.99E+11,5,like
4.04E+11,15,ignore
4.19E+11,5,dislike
4.24E+11,5,dislike
4.29E+11,5,dislike
4.34E+11,5,dislike
4.39E+11,5,dislike
4.44E+11,5,dislike
4.49E+11,15,ignore
4.64E+11,5,like
4.69E+11,5,like
4.74E+11,5,like
4.79E+11,5,like
4.84E+11,5,like
4.89E+11,5,like
4.94E+11,15,ignore
5.09E+11,5,dislike
5.14E+11,5,dislike
5.19E+11,5,dislike
5.24E+11,5,dislike
5.29E+11,5,dislike
5.34E+11,5,dislike
5.39E+11,15,ignore
5.54E+11,5,like
5.59E+11,5,like
5.64E+11,5,like
5.69E+11,5,like
5.74E+11,5,like
5.79E+11,5,like
5.84E+11,15,ignore
5.99E+11,5,dislike
6.04E+11,5,dislike
6.09E+11,5,dislike
6.14E+11,5,dislike
6.19E+11,5,dislike
6.24E+11,5,dislike
