onset,duration,description
0,124,ignore
1.24E+11,5,like
1.29E+11,5,like
1.34E+11,5,like
1.39E+11,5,like
1.44E+11,5,like
1.49E+11,5,like
1.54E+11,15,ignore
1.69E+11,5,dislike
1.74E+11,5,dislike
1.79E+11,5,dislike
1.84E+11,5,dislike
1.89E+11,5,dislike
1.94E+11,5,dislike
1.99E+11,15,ignore
2.14E+11,5,like
2.19E+11,5,like
2.24E+11,5,like
2.29E+11,5,like
2.34E+11,5,like
2.39E+11,5,like
2.44E+11,15,ignore
2.59E+11,5,dislike
2.64E+11,5,dislike
2.69E+11,5,dislike
2.74E+11,5,dislike
2.79E+11,5,dislike
2.84E+11,5,dislike
2.89E+11,15,ignore
3.04E+11,5,like
3.09E+11,5,like
3.14E+11,5,like
3.19E+11,5,like
3.24E+11,5,like
3.29E+11,5,like
3.34E+11,15,ignore
3.49E+11,5,dislike
3.54E+11,5,dislike
3.59E+11,5,dislike
3.64E+11,5,dislike
3.69E+11,5,dislike
3.74E+11,5,dislike
3.79E+11,15,ignore
3.94E+11,5,like
3.99E+11,5,like
4.04E+11,5,like
4.09E+11,5,like
4.14E+11,5,like
4.19E+11,5,like
4.24E+11,15,ignore
4.39E+11,5,dislike
4.44E+11,5,dislike
4.49E+11,5,dislike
4.54E+11,5,dislike
4.59E+11,5,dislike
4.64E+11,5,dislike
4.69E+11,15,ignore
4.84E+11,5,like
4.89E+11,5,like
4.94E+11,5,like
4.99E+11,5,like
5.04E+11,5,like
5.09E+11,5,like
5.14E+11,15,ignore
5.29E+11,5,dislike
5.34E+11,5,dislike
5.39E+11,5,dislike
5.44E+11,5,dislike
5.49E+11,5,dislike
5.54E+11,5,dislike
5.59E+11,15,ignore
5.74E+11,5,like
5.79E+11,5,like
5.84E+11,5,like
5.89E+11,5,like
5.94E+11,5,like
5.99E+11,5,like
6.04E+11,15,ignore
6.19E+11,5,dislike
6.24E+11,5,dislike
6.29E+11,5,dislike
6.34E+11,5,dislike
6.39E+11,5,dislike
6.44E+11,5,dislike
6.49E+11,15,ignore
6.64E+11,5,like
6.69E+11,5,like
6.74E+11,5,like
6.79E+11,5,like
6.84E+11,5,like
6.89E+11,5,like
6.94E+11,15,ignore
7.09E+11,5,dislike
7.14E+11,5,dislike
7.19E+11,5,dislike
7.24E+11,5,dislike
7.29E+11,5,dislike
7.34E+11,5,dislike
7.39E+11,15,ignore
7.54E+11,5,like
7.59E+11,5,like
7.64E+11,5,like
7.69E+11,5,like
7.74E+11,5,like
7.79E+11,5,like
7.84E+11,15,ignore
7.99E+11,5,dislike
8.04E+11,5,dislike
8.09E+11,5,dislike
8.14E+11,5,dislike
8.19E+11,5,dislike
8.24E+11,5,dislike
8.29E+11,15,ignore
8.44E+11,5,like
8.49E+11,5,like
8.54E+11,5,like
8.59E+11,5,like
8.64E+11,5,like
8.69E+11,5,like
8.74E+11,15,ignore
8.89E+11,5,dislike
8.94E+11,5,dislike
8.99E+11,5,dislike
9.04E+11,5,dislike
9.09E+11,5,dislike
9.14E+11,5,dislike
9.19E+11,15,ignore
9.34E+11,5,like
9.39E+11,5,like
9.44E+11,5,like
9.49E+11,5,like
9.54E+11,5,like
9.59E+11,5,like
9.64E+11,15,ignore
9.79E+11,5,dislike
9.84E+11,5,dislike
9.89E+11,5,dislike
9.94E+11,5,dislike
9.99E+11,5,dislike
1.00E+12,5,dislike
