onset,duration,description
0,440,ignore
4.40E+11,5,like
4.45E+11,5,like
4.50E+11,5,like
4.55E+11,5,like
4.60E+11,5,like
4.65E+11,5,like
4.70E+11,15,ignore
4.85E+11,5,dislike
4.90E+11,5,dislike
4.95E+11,5,dislike
5.00E+11,5,dislike
5.05E+11,5,dislike
5.10E+11,5,dislike
5.15E+11,15,ignore
5.30E+11,5,like
5.35E+11,5,like
5.40E+11,5,like
5.45E+11,5,like
5.50E+11,5,like
5.55E+11,5,like
5.60E+11,15,ignore
5.75E+11,5,dislike
5.80E+11,5,dislike
5.85E+11,5,dislike
5.90E+11,5,dislike
5.95E+11,5,dislike
6.00E+11,5,dislike
6.05E+11,15,ignore
6.20E+11,5,like
6.25E+11,5,like
6.30E+11,5,like
6.35E+11,5,like
6.40E+11,5,like
6.45E+11,5,like
6.60E+11,15,ignore
6.65E+11,5,dislike
6.70E+11,5,dislike
6.75E+11,5,dislike
6.80E+11,5,dislike
6.85E+11,5,dislike
6.90E+11,5,dislike
6.95E+11,15,ignore
7.10E+11,5,like
7.15E+11,5,like
7.20E+11,5,like
7.25E+11,5,like
7.30E+11,5,like
7.35E+11,5,like
7.50E+11,15,ignore
7.55E+11,5,dislike
7.60E+11,5,dislike
7.65E+11,5,dislike
7.70E+11,5,dislike
7.75E+11,5,dislike
7.80E+11,5,dislike
7.85E+11,15,ignore
8.00E+11,5,like
8.05E+11,5,like
8.10E+11,5,like
8.15E+11,5,like
8.20E+11,5,like
8.25E+11,5,like
8.30E+11,15,ignore
8.45E+11,5,dislike
8.50E+11,5,dislike
8.55E+11,5,dislike
8.60E+11,5,dislike
8.65E+11,5,dislike
8.70E+11,5,dislike
