onset,duration,description
0,7,ignore
7.00E+09,5,like
1.20E+10,5,like
1.70E+10,5,like
2.20E+10,5,like
2.70E+10,5,like
3.20E+10,5,like
3.70E+10,15,ignore
5.20E+10,5,dislike
5.70E+10,5,dislike
6.20E+10,5,dislike
6.70E+10,5,dislike
7.20E+10,5,dislike
7.70E+10,5,dislike
8.20E+10,15,ignore
9.70E+10,5,like
1.02E+11,5,like
1.07E+11,5,like
1.12E+11,5,like
1.17E+11,5,like
1.22E+11,5,like
1.27E+11,15,ignore
1.42E+11,5,dislike
1.47E+11,5,dislike
1.52E+11,5,dislike
1.57E+11,5,dislike
1.62E+11,5,dislike
1.67E+11,5,dislike
1.72E+11,15,ignore
1.87E+11,5,like
1.92E+11,5,like
1.97E+11,5,like
2.02E+11,5,like
2.07E+11,5,like
2.12E+11,5,like
2.17E+11,15,ignore
2.32E+11,5,dislike
2.37E+11,5,dislike
2.42E+11,5,dislike
2.47E+11,5,dislike
2.52E+11,5,dislike
2.57E+11,5,dislike
