onset,duration,description
0,4,ignore
4.00E+09,5,like
9.00E+09,5,like
1.40E+10,5,like
1.90E+10,5,like
2.40E+10,5,like
2.90E+10,5,like
3.40E+10,15,ignore
4.90E+10,5,dislike
5.40E+10,5,dislike
5.90E+10,5,dislike
6.40E+10,5,dislike
6.90E+10,5,dislike
7.40E+10,5,dislike
7.90E+10,15,ignore
9.40E+10,5,like
9.90E+10,5,like
1.04E+11,5,like
1.09E+11,5,like
1.14E+11,5,like
1.19E+11,5,like
1.24E+11,15,ignore
1.39E+11,5,dislike
1.44E+11,5,dislike
1.49E+11,5,dislike
1.54E+11,5,dislike
1.59E+11,5,dislike
1.64E+11,5,dislike
1.69E+11,15,ignore
1.84E+11,5,like
1.89E+11,5,like
1.94E+11,5,like
1.99E+11,5,like
2.04E+11,5,like
2.09E+11,5,like
2.14E+11,15,ignore
2.29E+11,5,dislike
2.34E+11,5,dislike
2.39E+11,5,dislike
2.44E+11,5,dislike
2.49E+11,5,dislike
2.54E+11,5,dislike
