onset,duration,description
0,13,ignore
1.00E+10,5,like
1.50E+10,5,like
2.00E+10,5,like
2.50E+10,5,like
3.00E+10,5,like
3.50E+10,5,like
4.00E+10,15,ignore
5.50E+10,5,dislike
6.00E+10,5,dislike
6.50E+10,5,dislike
7.00E+10,5,dislike
7.50E+10,5,dislike
8.00E+10,5,dislike
8.50E+10,15,ignore
1.00E+11,5,like
1.05E+11,5,like
1.10E+11,5,like
1.15E+11,5,like
1.20E+11,5,like
1.25E+11,5,like
1.30E+11,15,ignore
1.45E+11,5,dislike
1.50E+11,5,dislike
1.55E+11,5,dislike
1.60E+11,5,dislike
1.65E+11,5,dislike
1.70E+11,5,dislike
1.75E+11,15,ignore
1.90E+11,5,like
1.95E+11,5,like
2.00E+11,5,like
2.05E+11,5,like
2.10E+11,5,like
2.15E+11,5,like
2.20E+11,15,ignore
2.35E+11,5,dislike
2.40E+11,5,dislike
2.45E+11,5,dislike
2.50E+11,5,dislike
2.55E+11,5,dislike
2.60E+11,5,dislike
