onset,duration,description
0,4,ignore
4.00E+09,5,like
9.00E+09,5,like
1.40E+10,5,like
1.90E+10,5,like
2.40E+10,5,like
2.90E+10,5,like
3.40E+10,15,ignore
4.90E+10,5,dislike
5.40E+10,5,dislike
5.90E+10,5,dislike
6.40E+10,5,dislike
6.90E+10,5,dislike
7.40E+10,5,dislike
7.90E+10,15,ignore
9.40E+10,5,like
9.90E+10,5,like
1.04E+11,5,like
1.09E+11,5,like
1.14E+11,5,like
1.19E+11,5,like
1.24E+11,15,ignore
1.39E+11,5,dislike
1.44E+11,5,dislike
1.49E+11,5,dislike
1.54E+11,5,dislike
1.59E+11,5,dislike
1.64E+11,5,dislike
1.69E+11,15,ignore
1.84E+11,5,like
1.89E+11,5,like
1.94E+11,5,like
1.99E+11,5,like
2.04E+11,5,like
2.09E+11,5,like
2.14E+11,15,ignore
2.29E+11,5,dislike
2.34E+11,5,dislike
2.39E+11,5,dislike
2.44E+11,5,dislike
2.49E+11,5,dislike
2.54E+11,5,dislike
2.59E+11,15,ignore
2.74E+11,5,like
2.79E+11,5,like
2.84E+11,5,like
2.89E+11,5,like
2.94E+11,5,like
2.99E+11,5,like
3.04E+11,15,ignore
3.19E+11,5,dislike
3.24E+11,5,dislike
3.29E+11,5,dislike
3.34E+11,5,dislike
3.39E+11,5,dislike
3.44E+11,5,dislike
3.49E+11,15,ignore
3.64E+11,5,like
3.69E+11,5,like
3.74E+11,5,like
3.79E+11,5,like
3.84E+11,5,like
3.89E+11,5,like
3.94E+11,15,ignore
4.09E+11,5,dislike
4.14E+11,5,dislike
4.19E+11,5,dislike
4.24E+11,5,dislike
4.29E+11,5,dislike
4.34E+11,5,dislike
4.39E+11,15,ignore
4.54E+11,5,like
4.59E+11,5,like
4.64E+11,5,like
4.69E+11,5,like
4.74E+11,5,like
4.79E+11,5,like
4.84E+11,15,ignore
4.99E+11,5,dislike
5.04E+11,5,dislike
5.09E+11,5,dislike
5.14E+11,5,dislike
5.19E+11,5,dislike
5.24E+11,5,dislike
5.29E+11,15,ignore
5.44E+11,5,like
5.49E+11,5,like
5.54E+11,5,like
5.59E+11,5,like
5.64E+11,5,like
5.69E+11,5,like
5.74E+11,15,ignore
5.89E+11,5,dislike
5.94E+11,5,dislike
5.99E+11,5,dislike
6.04E+11,5,dislike
6.09E+11,5,dislike
6.14E+11,5,dislike
6.19E+11,15,ignore
6.34E+11,5,like
6.39E+11,5,like
6.44E+11,5,like
6.49E+11,5,like
6.54E+11,5,like
6.59E+11,5,like
6.64E+11,15,ignore
6.79E+11,5,dislike
6.84E+11,5,dislike
6.89E+11,5,dislike
6.94E+11,5,dislike
6.99E+11,5,dislike
7.04E+11,5,dislike
7.09E+11,15,ignore
7.24E+11,5,like
7.29E+11,5,like
7.34E+11,5,like
7.39E+11,5,like
7.44E+11,5,like
7.49E+11,5,like
7.54E+11,15,ignore
7.69E+11,5,dislike
7.74E+11,5,dislike
7.79E+11,5,dislike
7.84E+11,5,dislike
7.89E+11,5,dislike
7.94E+11,5,dislike
7.99E+11,15,ignore
8.14E+11,5,like
8.19E+11,5,like
8.24E+11,5,like
8.29E+11,5,like
8.34E+11,5,like
8.39E+11,5,like
8.44E+11,15,ignore
8.59E+11,5,dislike
8.64E+11,5,dislike
8.69E+11,5,dislike
8.74E+11,5,dislike
8.79E+11,5,dislike
8.84E+11,5,dislike
